duration,filename,xc_id,url,sample,label,xc_quality
19,XC289173.mp3,289173,https://www.xeno-canto.org/289173,training/XC289173.npy,17,D
72,XC143939.mp3,143939,https://www.xeno-canto.org/143939,training/XC143939.npy,19,D
24,XC292469.mp3,292469,https://www.xeno-canto.org/292469,training/XC292469.npy,39,D
36,XC292472.mp3,292472,https://www.xeno-canto.org/292472,training/XC292472.npy,39,E
36,XC314198.mp3,314198,https://www.xeno-canto.org/314198,training/XC314198.npy,39,D
76,XC349470.mp3,349470,https://www.xeno-canto.org/349470,training/XC349470.npy,62,D
29,XC318002.mp3,318002,https://www.xeno-canto.org/318002,training/XC318002.npy,91,D
85,XC370944.mp3,370944,https://www.xeno-canto.org/370944,training/XC370944.npy,86,D
59,XC494105.mp3,494105,https://www.xeno-canto.org/494105,training/XC494105.npy,92,D
70,XC383677.mp3,383677,https://www.xeno-canto.org/383677,training/XC383677.npy,96,D
66,XC282989.mp3,282989,https://www.xeno-canto.org/282989,training/XC282989.npy,15,D
31,XC282437.mp3,282437,https://www.xeno-canto.org/282437,training/XC282437.npy,39,E
16,XC297473.mp3,297473,https://www.xeno-canto.org/297473,training/XC297473.npy,39,D
25,XC453803.mp3,453803,https://www.xeno-canto.org/453803,training/XC453803.npy,38,D
16,XC382227.mp3,382227,https://www.xeno-canto.org/382227,training/XC382227.npy,11,D
61,XC277943.mp3,277943,https://www.xeno-canto.org/277943,training/XC277943.npy,39,D
33,XC144228.mp3,144228,https://www.xeno-canto.org/144228,training/XC144228.npy,78,D
48,XC433031.mp3,433031,https://www.xeno-canto.org/433031,training/XC433031.npy,8,D
57,XC70947.mp3,70947,https://www.xeno-canto.org/70947,training/XC70947.npy,71,D
26,XC52463.mp3,52463,https://www.xeno-canto.org/52463,training/XC52463.npy,39,E
31,XC374044.mp3,374044,https://www.xeno-canto.org/374044,training/XC374044.npy,44,D
21,XC479768.mp3,479768,https://www.xeno-canto.org/479768,training/XC479768.npy,72,D
71,XC447658.mp3,447658,https://www.xeno-canto.org/447658,training/XC447658.npy,70,D
24,XC358701.mp3,358701,https://www.xeno-canto.org/358701,training/XC358701.npy,23,E
265,XC167849.mp3,167849,https://www.xeno-canto.org/167849,training/XC167849.npy,86,E
28,XC205681.mp3,205681,https://www.xeno-canto.org/205681,training/XC205681.npy,39,E
22,XC437498.mp3,437498,https://www.xeno-canto.org/437498,training/XC437498.npy,59,E
40,XC412909.mp3,412909,https://www.xeno-canto.org/412909,training/XC412909.npy,19,D
38,XC493544.mp3,493544,https://www.xeno-canto.org/493544,training/XC493544.npy,7,D
292,XC448015.mp3,448015,https://www.xeno-canto.org/448015,training/XC448015.npy,70,D
14,XC213558.mp3,213558,https://www.xeno-canto.org/213558,training/XC213558.npy,19,D
56,XC171449.mp3,171449,https://www.xeno-canto.org/171449,training/XC171449.npy,39,D
57,XC453927.mp3,453927,https://www.xeno-canto.org/453927,training/XC453927.npy,70,D
174,XC447396.mp3,447396,https://www.xeno-canto.org/447396,training/XC447396.npy,70,E
58,XC475091.mp3,475091,https://www.xeno-canto.org/475091,training/XC475091.npy,31,D
19,XC120002.mp3,120002,https://www.xeno-canto.org/120002,training/XC120002.npy,38,D
46,XC384028.mp3,384028,https://www.xeno-canto.org/384028,training/XC384028.npy,62,D
33,XC191751.mp3,191751,https://www.xeno-canto.org/191751,training/XC191751.npy,91,D
43,XC292473.mp3,292473,https://www.xeno-canto.org/292473,training/XC292473.npy,39,D
148,XC469745.mp3,469745,https://www.xeno-canto.org/469745,training/XC469745.npy,10,D
41,XC344263.mp3,344263,https://www.xeno-canto.org/344263,training/XC344263.npy,39,D
23,XC163851.mp3,163851,https://www.xeno-canto.org/163851,training/XC163851.npy,78,D
51,XC244402.mp3,244402,https://www.xeno-canto.org/244402,training/XC244402.npy,99,D
